driver,team,salary,dollarsperpoint
Fernando Alonso,McLaren,37800000,3436364
Sebastian Vettel,Ferrari,30240000,108777
Lewis Hamilton,Mercedes,27000000,70866
Kimi Raikkonen,Ferrari,19440000,129600
Nico Rosberg,Mercedes,14580000,45280
Jenson Button,McLaren,10800000,675000
Felipe Massa,Williams,4320000,35702
Nico Hulkenberg,Force India,4320000,74483
Sergio Perez,Force India,4320000,55385
Romain Grosjean,Lotus,4320000,84706
Pastor Maldonado,Lotus,4320000,160000
Valtteri Bottas,Williams,2160000,15882
Daniel Ricciardo,Red Bull,1620000,17609
Daniil Kvyat,Red Bull,810000,8526
Max Verstappen,Toro Rosso,270000,5510
Carlos Sainz,Toro Rosso,270000,15000
Felipe Nasr,Sauber,216000,8000
Marcus Ericsson,Sauber,216000,24000
